Row,1,2,3,4,5,6,7,8,9,10,11,12
A,16.2,37.2,48.2,48.2,40.2,48.2,47.2,47.2,46.2,45.2,30.2,11.2
B,6.2,37.2,40.2,40.2,41.2,37.2,42.2,41.2,41.2,40.2,36.2,11.2
C,4.2,5.2,4.2,12.2,12.2,5.2,9.2,6.2,9.2,9.2,7.2,4.2
D,-1.8,1.2,1.2,4.2,1.2,1.2,-1.8,1.2,-1.8,1.2,-0.8,-5.8
E,-7.8,-4.8,-1.8,-0.8,-3.8,-3.8,-2.8,-6.8,-6.8,-7.8,-14.8,-18.8
F,-28.8,-19.8,-2.8,-6.8,-10.8,-10.8,-7.8,-8.8,-14.8,-19.8,-22.8,-28.8
G,-31.8,-22.8,-8.8,-7.8,-14.8,-15.8,-12.8,-12.8,-18.8,-21.8,-29.8,-49.8
H,-51.8,-34.8,-25.8,-25.8,-29.8,-30.8,-21.8,-33.8,-33.8,-47.8,-55.8,-67.8

